usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
1008,757,993,612,3.63,3.66,5.3,4.9,955,801,899,619,1,151,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,0.098978268,0.005365857,0.332593421,-0.093246418,-0.462879253,4.692224687,4.795472674
835,732,981,598,3.63,3.66,5.3,4.9,955,801,899,619,1,450,..\movie\anzai_kento\usiro\after\220628_02.MP4,0,-0.501697074,0.040814905,0.220919818,0,0,4.091549344,4.68379907
889,773,1015,607,3.63,3.66,5.3,4.9,955,801,899,619,1,737,..\movie\anzai_kento\usiro\after\220628_02.MP4,0,-0.298779685,0.051819995,0.506212097,0,0,4.294466733,4.96909135
1084,719,957,606,3.63,3.66,5.3,4.9,955,801,899,619,1,997,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,0.377359752,-0.024794278,0.026093175,0,0,4.970606171,4.488972428
927,726,981,602,3.63,3.66,5.3,4.9,955,801,899,619,1,1277,..\movie\anzai_kento\usiro\after\220628_02.MP4,0,-0.181119471,0.006734394,0.225907875,0,0,4.412126947,4.688787128
974,765,1043,605,3.63,3.66,5.3,4.9,955,801,899,619,1,1573,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.01602171,0.024714294,0.753059626,0,0,4.577224708,5.215938878
1096,742,1040,607,3.63,3.66,5.3,4.9,955,801,899,619,1,1855,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,0.371805728,-0.028960654,0.746895689,0,0,4.965052147,5.209774942
904,729,999,607,3.63,3.66,5.3,4.9,955,801,899,619,1,2132,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.254714547,-0.015361593,0.374585368,0,0,4.338531871,4.837464621
911,734,978,600,3.63,3.66,5.3,4.9,955,801,899,619,1,2430,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.237817296,0.031725249,0.200026037,0,0,4.355429122,4.66290529
830,741,1057,606,3.63,3.66,5.3,4.9,955,801,899,619,1,2733,..\movie\anzai_kento\usiro\after\220628_02.MP4,0,-0.465391011,-0.01285951,0.844843157,0,0,4.127855407,5.30772241
899,731,972,607,3.63,3.66,5.3,4.9,955,801,899,619,1,3007,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.282090301,0.000879863,0.149567475,0,0,4.311156117,4.612446728
864,734,995,600,3.63,3.66,5.3,4.9,955,801,899,619,1,3297,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.392909808,0.02735399,0.338026387,0,0,4.20033661,4.80090564
955,745,991,603,3.63,3.66,5.3,4.9,955,801,899,619,1,3580,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.082487411,0.028550575,0.311669714,0,0,4.510759007,4.774548967
869,740,960,591,3.63,3.66,5.3,4.9,955,801,899,619,1,4164,..\movie\anzai_kento\usiro\after\220628_02.MP4,2,-0.394176403,0.091379901,0.049487297,0,0,4.199070015,4.512366549
918,734,1033,606,3.63,3.66,5.3,4.9,955,801,899,619,1,4453,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,-0.197124214,-0.019710018,0.660205266,0,0,4.396122205,5.123084519
885,731,1048,596,3.63,3.66,5.3,4.9,955,801,899,619,1,4750,..\movie\anzai_kento\usiro\after\220628_02.MP4,2,-0.297170168,0.012923054,0.780136158,0,0,4.29607625,5.24301541
1045,743,1029,596,3.63,3.66,5.3,4.9,955,801,899,619,1,5029,..\movie\anzai_kento\usiro\after\220628_02.MP4,1,0.213573942,0.029707802,0.644527983,0,0,4.806820361,5.107407235
834,741,998,606,3.63,3.66,5.3,4.9,955,801,899,619,1,5314,..\movie\anzai_kento\usiro\after\220628_02.MP4,0,-0.493509013,0.015476641,0.360207229,0,0,4.099737405,4.823086481
818,687,988,602,3.63,3.66,5.3,4.9,955,801,899,619,1,5586,..\movie\anzai_kento\usiro\after\220628_02.MP4,0,-0.555677065,-0.05544204,0.277130339,0,0,4.037569353,4.740009592
