usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
1081,781,918,593,3.63,3.66,5.3,4.9,958,817,899,610,0,120,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
924,750,985,589,3.63,3.66,5.3,4.9,958,817,899,610,0,404,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
944,748,1018,596,3.63,3.66,5.3,4.9,958,817,899,610,0,669,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
1027,761,997,595,3.63,3.66,5.3,4.9,958,817,899,610,0,930,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,1
890,805,881,597,3.63,3.66,5.3,4.9,958,817,899,610,0,1203,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
1011,766,983,588,3.63,3.66,5.3,4.9,958,817,899,610,0,1464,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
964,775,953,602,3.63,3.66,5.3,4.9,958,817,899,610,0,1746,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
947,764,981,589,3.63,3.66,5.3,4.9,958,817,899,610,0,2031,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
875,768,954,594,3.63,3.66,5.3,4.9,958,817,899,610,0,2321,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
989,791,914,594,3.63,3.66,5.3,4.9,958,817,899,610,0,2605,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
927,761,987,590,3.63,3.66,5.3,4.9,958,817,899,610,0,2897,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
935,796,900,591,3.63,3.66,5.3,4.9,958,817,899,610,0,3180,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
979,757,979,591,3.63,3.66,5.3,4.9,958,817,899,610,0,3466,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
897,794,884,598,3.63,3.66,5.3,4.9,958,817,899,610,0,3770,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
942,812,858,578,3.63,3.66,5.3,4.9,958,817,899,610,0,4076,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
942,780,918,592,3.63,3.66,5.3,4.9,958,817,899,610,0,4376,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,1
933,795,894,593,3.63,3.66,5.3,4.9,958,817,899,610,0,4694,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
890,787,897,593,3.63,3.66,5.3,4.9,958,817,899,610,0,5003,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,0
976,794,913,584,3.63,3.66,5.3,4.9,958,817,899,610,0,5310,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,2
980,803,897,592,3.63,3.66,5.3,4.9,958,817,899,610,0,5618,..\movie\hinata_keisuke\usiro\after\220707_02.mp4,1
