usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
902,757,947,588,3.3,4.9,5.7,4.9,970,806,900,614,1,145,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
925,745,979,604,3.3,4.9,5.7,4.9,970,806,900,614,1,446,..\movie\hinata_kento\usiro\after\220705_01.mp4,2
975,739,1004,602,3.3,4.9,5.7,4.9,970,806,900,614,1,757,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
1079,733,1023,605,3.3,4.9,5.7,4.9,970,806,900,614,1,1083,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
895,748,963,596,3.3,4.9,5.7,4.9,970,806,900,614,1,1395,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
1001,720,1071,595,3.3,4.9,5.7,4.9,970,806,900,614,1,1742,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
926,729,1028,593,3.3,4.9,5.7,4.9,970,806,900,614,1,2092,..\movie\hinata_kento\usiro\after\220705_01.mp4,2
926,729,1046,594,3.3,4.9,5.7,4.9,970,806,900,614,1,2499,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
1085,728,1040,602,3.3,4.9,5.7,4.9,970,806,900,614,1,2839,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
934,723,1091,591,3.3,4.9,5.7,4.9,970,806,900,614,1,3174,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
858,735,989,593,3.3,4.9,5.7,4.9,970,806,900,614,1,3575,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
884,749,972,598,3.3,4.9,5.7,4.9,970,806,900,614,1,3960,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
892,745,981,596,3.3,4.9,5.7,4.9,970,806,900,614,1,4353,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
1131,734,1015,605,3.3,4.9,5.7,4.9,970,806,900,614,1,4734,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
848,710,1080,597,3.3,4.9,5.7,4.9,970,806,900,614,1,5074,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
1130,731,1039,608,3.3,4.9,5.7,4.9,970,806,900,614,1,5449,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
887,741,1002,599,3.3,4.9,5.7,4.9,970,806,900,614,1,5824,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
891,739,997,594,3.3,4.9,5.7,4.9,970,806,900,614,1,6254,..\movie\hinata_kento\usiro\after\220705_01.mp4,0
970,725,1055,603,3.3,4.9,5.7,4.9,970,806,900,614,1,6641,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
1025,729,1049,598,3.3,4.9,5.7,4.9,970,806,900,614,1,7039,..\movie\hinata_kento\usiro\after\220705_01.mp4,1
