usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
969,764,971,600,3.63,3.66,5.3,4.9,958,823,900,608,0,160,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
737,769,967,582,3.63,3.66,5.3,4.9,958,823,900,608,0,450,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
949,787,902,593,3.63,3.66,5.3,4.9,958,823,900,608,0,737,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
894,777,937,599,3.63,3.66,5.3,4.9,958,823,900,608,0,1002,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
1035,791,910,592,3.63,3.66,5.3,4.9,958,823,900,608,0,1294,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
840,785,925,580,3.63,3.66,5.3,4.9,958,823,900,608,0,1581,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
1027,770,993,594,3.63,3.66,5.3,4.9,958,823,900,608,0,1886,..\movie\keisuke_riku\usiro\after\220707_02.mp4,1
862,776,944,592,3.63,3.66,5.3,4.9,958,823,900,608,0,2184,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
1154,768,966,596,3.63,3.66,5.3,4.9,958,823,900,608,0,2501,..\movie\keisuke_riku\usiro\after\220707_02.mp4,1
858,766,977,590,3.63,3.66,5.3,4.9,958,823,900,608,0,2823,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
947,787,920,594,3.63,3.66,5.3,4.9,958,823,900,608,0,3133,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
1013,803,860,593,3.63,3.66,5.3,4.9,958,823,900,608,0,3431,..\movie\keisuke_riku\usiro\after\220707_02.mp4,1
923,813,880,588,3.63,3.66,5.3,4.9,958,823,900,608,0,3735,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
960,784,902,591,3.63,3.66,5.3,4.9,958,823,900,608,0,4040,..\movie\keisuke_riku\usiro\after\220707_02.mp4,0
950,778,893,600,3.63,3.66,5.3,4.9,958,823,900,608,0,4353,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
924,766,1010,589,3.63,3.66,5.3,4.9,958,823,900,608,0,4657,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
912,750,1012,592,3.63,3.66,5.3,4.9,958,823,900,608,0,4981,..\movie\keisuke_riku\usiro\after\220707_02.mp4,1
854,832,825,591,3.63,3.66,5.3,4.9,958,823,900,608,0,5301,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
933,730,1089,602,3.63,3.66,5.3,4.9,958,823,900,608,0,5593,..\movie\keisuke_riku\usiro\after\220707_02.mp4,1
1001,811,850,598,3.63,3.66,5.3,4.9,958,823,900,608,0,5914,..\movie\keisuke_riku\usiro\after\220707_02.mp4,2
