usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
943,798,883,589,3.7,4.9,4.8,3.66,956,822,899,609,1,144,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
964,770,947,595,3.7,4.9,4.8,3.66,956,822,899,609,1,429,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
1020,807,869,598,3.7,4.9,4.8,3.66,956,822,899,609,1,714,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,1
1018,780,920,598,3.7,4.9,4.8,3.66,956,822,899,609,1,1010,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,2
1028,761,950,595,3.7,4.9,4.8,3.66,956,822,899,609,1,1327,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,1
926,794,903,588,3.7,4.9,4.8,3.66,956,822,899,609,1,1636,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
1071,748,1011,602,3.7,4.9,4.8,3.66,956,822,899,609,1,1933,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,2
959,777,933,592,3.7,4.9,4.8,3.66,956,822,899,609,1,2244,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,2
1147,762,958,597,3.7,4.9,4.8,3.66,956,822,899,609,1,2549,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,1
1003,778,939,593,3.7,4.9,4.8,3.66,956,822,899,609,1,2849,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
935,756,994,593,3.7,4.9,4.8,3.66,956,822,899,609,1,3162,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
972,787,896,597,3.7,4.9,4.8,3.66,956,822,899,609,1,3486,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,1
970,775,913,594,3.7,4.9,4.8,3.66,956,822,899,609,1,3801,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,2
932,801,870,589,3.7,4.9,4.8,3.66,956,822,899,609,1,4120,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
964,812,847,587,3.7,4.9,4.8,3.66,956,822,899,609,1,4454,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,1
1035,758,984,593,3.7,4.9,4.8,3.66,956,822,899,609,1,4769,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,1
904,799,888,590,3.7,4.9,4.8,3.66,956,822,899,609,1,5098,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
900,841,811,589,3.7,4.9,4.8,3.66,956,822,899,609,1,5418,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,2
897,776,938,593,3.7,4.9,4.8,3.66,956,822,899,609,1,5719,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
956,769,978,590,3.7,4.9,4.8,3.66,956,822,899,609,1,6034,..\movie\keisuke_riku\usiro\after\220707_03(2).mp4,0
