usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
1058,743,971,602,3.3,4.9,5.7,4.9,953,802,895,621,0,181,..\movie\riku_kento\usiro\after\220628_01.mp4,1
869,740,980,604,3.3,4.9,5.7,4.9,953,802,895,621,0,463,..\movie\riku_kento\usiro\after\220628_01.mp4,0
1026,732,999,609,3.3,4.9,5.7,4.9,953,802,895,621,0,762,..\movie\riku_kento\usiro\after\220628_01.mp4,2
982,694,1194,604,3.3,4.9,5.7,4.9,953,802,895,621,0,1072,..\movie\riku_kento\usiro\after\220628_01.mp4,2
1062,805,828,607,3.3,4.9,5.7,4.9,953,802,895,621,0,1390,..\movie\riku_kento\usiro\after\220628_01.mp4,2
970,755,937,607,3.3,4.9,5.7,4.9,953,802,895,621,0,1715,..\movie\riku_kento\usiro\after\220628_01.mp4,0
896,760,909,603,3.3,4.9,5.7,4.9,953,802,895,621,0,2057,..\movie\riku_kento\usiro\after\220628_01.mp4,0
1026,767,917,609,3.3,4.9,5.7,4.9,953,802,895,621,0,2384,..\movie\riku_kento\usiro\after\220628_01.mp4,2
1167,793,858,608,3.3,4.9,5.7,4.9,953,802,895,621,0,2726,..\movie\riku_kento\usiro\after\220628_01.mp4,1
1011,735,997,604,3.3,4.9,5.7,4.9,953,802,895,621,0,3036,..\movie\riku_kento\usiro\after\220628_01.mp4,1
738,829,769,599,3.3,4.9,5.7,4.9,953,802,895,621,0,3352,..\movie\riku_kento\usiro\after\220628_01.mp4,0
879,761,938,603,3.3,4.9,5.7,4.9,953,802,895,621,0,3631,..\movie\riku_kento\usiro\after\220628_01.mp4,0
1039,759,935,609,3.3,4.9,5.7,4.9,953,802,895,621,0,3940,..\movie\riku_kento\usiro\after\220628_01.mp4,2
984,740,1005,607,3.3,4.9,5.7,4.9,953,802,895,621,0,4233,..\movie\riku_kento\usiro\after\220628_01.mp4,0
1013,708,1097,605,3.3,4.9,5.7,4.9,953,802,895,621,0,4536,..\movie\riku_kento\usiro\after\220628_01.mp4,2
1068,769,901,615,3.3,4.9,5.7,4.9,953,802,895,621,0,4854,..\movie\riku_kento\usiro\after\220628_01.mp4,1
1112,759,934,611,3.3,4.9,5.7,4.9,953,802,895,621,0,5168,..\movie\riku_kento\usiro\after\220628_01.mp4,1
823,732,977,599,3.3,4.9,5.7,4.9,953,802,895,621,0,5454,..\movie\riku_kento\usiro\after\220628_01.mp4,0
975,737,1011,599,3.3,4.9,5.7,4.9,953,802,895,621,0,5757,..\movie\riku_kento\usiro\after\220628_01.mp4,2
793,744,976,603,3.3,4.9,5.7,4.9,953,802,895,621,0,6043,..\movie\riku_kento\usiro\after\220628_01.mp4,0
