usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
907,739,986,600,3.3,4.9,5.7,4.9,972,794,893,613,1,153,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
908,738,996,598,3.3,4.9,5.7,4.9,972,794,893,613,1,437,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
1131,739,887,599,3.3,4.9,5.7,4.9,972,794,893,613,1,725,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
949,710,1096,603,3.3,4.9,5.7,4.9,972,794,893,613,1,998,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
998,731,981,596,3.3,4.9,5.7,4.9,972,794,893,613,1,1312,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
1005,740,969,590,3.3,4.9,5.7,4.9,972,794,893,613,1,1609,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
837,743,960,598,3.3,4.9,5.7,4.9,972,794,893,613,1,1910,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
992,724,1031,597,3.3,4.9,5.7,4.9,972,794,893,613,1,2208,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
1047,738,957,607,3.3,4.9,5.7,4.9,972,794,893,613,1,2577,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
1019,726,1015,604,3.3,4.9,5.7,4.9,972,794,893,613,1,2894,..\movie\anzai_hinata\usiro\after\220614_01.mp4,2
960,740,938,609,3.3,4.9,5.7,4.9,972,794,893,613,1,3229,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
1121,726,981,608,3.3,4.9,5.7,4.9,972,794,893,613,1,3523,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
873,754,916,594,3.3,4.9,5.7,4.9,972,794,893,613,1,3832,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
1162,742,934,608,3.3,4.9,5.7,4.9,972,794,893,613,1,4145,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
1109,727,979,606,3.3,4.9,5.7,4.9,972,794,893,613,1,4459,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
932,752,953,593,3.3,4.9,5.7,4.9,972,794,893,613,1,4763,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
1037,722,1056,597,3.3,4.9,5.7,4.9,972,794,893,613,1,5069,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
1104,763,893,601,3.3,4.9,5.7,4.9,972,794,893,613,1,5385,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
1110,743,973,598,3.3,4.9,5.7,4.9,972,794,893,613,1,5681,..\movie\anzai_hinata\usiro\after\220614_01.mp4,1
1018,757,905,586,3.3,4.9,5.7,4.9,972,794,893,613,1,5987,..\movie\anzai_hinata\usiro\after\220614_01.mp4,0
