usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
797,755,941,603,3.7,4.9,4.8,3.66,952,801,898,619,1,142,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
1120,752,952,623,3.7,4.9,4.8,3.66,952,801,898,619,1,437,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
1011,747,979,612,3.7,4.9,4.8,3.66,952,801,898,619,1,744,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,2
1037,783,874,618,3.7,4.9,4.8,3.66,952,801,898,619,1,1027,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
1122,793,846,602,3.7,4.9,4.8,3.66,952,801,898,619,1,1321,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
974,715,1040,604,3.7,4.9,4.8,3.66,952,801,898,619,1,1611,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,2
983,745,984,606,3.7,4.9,4.8,3.66,952,801,898,619,1,1908,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
824,760,923,600,3.7,4.9,4.8,3.66,952,801,898,619,1,2205,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
1015,780,893,612,3.7,4.9,4.8,3.66,952,801,898,619,1,2499,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
794,789,846,608,3.7,4.9,4.8,3.66,952,801,898,619,1,2784,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
994,784,881,611,3.7,4.9,4.8,3.66,952,801,898,619,1,3063,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
671,817,802,604,3.7,4.9,4.8,3.66,952,801,898,619,1,3348,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
1059,779,891,619,3.7,4.9,4.8,3.66,952,801,898,619,1,3625,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
924,744,1002,596,3.7,4.9,4.8,3.66,952,801,898,619,1,3916,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
794,786,909,601,3.7,4.9,4.8,3.66,952,801,898,619,1,4220,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
959,775,919,615,3.7,4.9,4.8,3.66,952,801,898,619,1,4520,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,2
1084,796,885,619,3.7,4.9,4.8,3.66,952,801,898,619,1,4824,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
987,798,859,604,3.7,4.9,4.8,3.66,952,801,898,619,1,5108,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,1
919,789,886,604,3.7,4.9,4.8,3.66,952,801,898,619,1,5405,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,2
896,754,939,612,3.7,4.9,4.8,3.66,952,801,898,619,1,5682,..\movie\anzai_hinata\usiro\after\220628_03(2).mp4,0
