usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
964,794,876,610,3.3,4.9,5.7,4.9,996,818,885,625,0,163,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
913,766,945,605,3.3,4.9,5.7,4.9,996,818,885,625,0,440,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
858,748,970,623,3.3,4.9,5.7,4.9,996,818,885,625,0,716,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
931,812,839,604,3.3,4.9,5.7,4.9,996,818,885,625,0,1002,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
1020,820,843,608,3.3,4.9,5.7,4.9,996,818,885,625,0,1277,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,1
865,799,866,617,3.3,4.9,5.7,4.9,996,818,885,625,0,1567,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
959,796,889,609,3.3,4.9,5.7,4.9,996,818,885,625,0,1846,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
895,774,956,604,3.3,4.9,5.7,4.9,996,818,885,625,0,2136,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,2
885,789,857,611,3.3,4.9,5.7,4.9,996,818,885,625,0,2446,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,2
858,784,889,606,3.3,4.9,5.7,4.9,996,818,885,625,0,2741,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
913,777,905,613,3.3,4.9,5.7,4.9,996,818,885,625,0,3053,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
1067,783,892,615,3.3,4.9,5.7,4.9,996,818,885,625,0,3384,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,1
853,808,853,608,3.3,4.9,5.7,4.9,996,818,885,625,0,3681,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
1053,795,902,598,3.3,4.9,5.7,4.9,996,818,885,625,0,4001,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,1
919,754,972,613,3.3,4.9,5.7,4.9,996,818,885,625,0,4337,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
994,799,873,607,3.3,4.9,5.7,4.9,996,818,885,625,0,4663,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
856,753,951,608,3.3,4.9,5.7,4.9,996,818,885,625,0,5033,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
979,801,856,610,3.3,4.9,5.7,4.9,996,818,885,625,0,5334,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,2
818,786,904,603,3.3,4.9,5.7,4.9,996,818,885,625,0,5639,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
954,815,824,607,3.3,4.9,5.7,4.9,996,818,885,625,0,5946,..\movie\anzai_keisuke\usiro\after\220627_01(2).mp4,0
