usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
782,791,906,599,3.63,3.66,5.3,4.9,957,818,888,623,0,150,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
903,794,857,599,3.63,3.66,5.3,4.9,957,818,888,623,0,451,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
881,776,907,607,3.63,3.66,5.3,4.9,957,818,888,623,0,739,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
918,748,1000,607,3.63,3.66,5.3,4.9,957,818,888,623,0,1038,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,1
881,764,964,604,3.63,3.66,5.3,4.9,957,818,888,623,0,1341,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
866,772,910,607,3.63,3.66,5.3,4.9,957,818,888,623,0,1646,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,1
884,776,915,606,3.63,3.66,5.3,4.9,957,818,888,623,0,1956,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
872,767,957,605,3.63,3.66,5.3,4.9,957,818,888,623,0,2263,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
870,768,936,605,3.63,3.66,5.3,4.9,957,818,888,623,0,2578,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
828,783,885,600,3.63,3.66,5.3,4.9,957,818,888,623,0,2921,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
930,777,901,618,3.63,3.66,5.3,4.9,957,818,888,623,0,3254,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,1
879,779,909,615,3.63,3.66,5.3,4.9,957,818,888,623,0,3587,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
955,756,989,617,3.63,3.66,5.3,4.9,957,818,888,623,0,3925,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
769,787,903,605,3.63,3.66,5.3,4.9,957,818,888,623,0,4258,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
884,797,855,603,3.63,3.66,5.3,4.9,957,818,888,623,0,4616,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
863,796,840,601,3.63,3.66,5.3,4.9,957,818,888,623,0,4941,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
928,763,927,614,3.63,3.66,5.3,4.9,957,818,888,623,0,5261,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
918,793,873,609,3.63,3.66,5.3,4.9,957,818,888,623,0,5573,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
856,776,936,602,3.63,3.66,5.3,4.9,957,818,888,623,0,5895,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,2
892,774,915,600,3.63,3.66,5.3,4.9,957,818,888,623,0,6224,..\movie\anzai_keisuke\usiro\after\220627_02.mp4,0
