usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
963,757,925,609,3.63,3.66,5.3,4.9,952,801,900,617,0,143,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,2,-0.06019972762121941,0.057635909515079325,-0.24460195435080537,-0.1047431208228489,-0.4541050365047369,4.5445433932016295,4.209503082153931
774,779,850,596,3.63,3.66,5.3,4.9,952,801,900,617,0,416,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.8387108860191432,0.20948661793818013,-0.8306177068638168,0.0,0.0,3.7660322348037054,3.6234873296409202
1096,784,869,616,3.63,3.66,5.3,4.9,952,801,900,617,0,662,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,2,0.4724729003324212,0.09987221184877658,-0.7430812160419047,0.0,0.0,5.07721602115527,3.7110238204628323
865,750,931,604,3.63,3.66,5.3,4.9,952,801,900,617,0,932,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.42422713988173777,0.07037924137501497,-0.18916495881065348,0.0,0.0,4.180515980941111,4.264940077694083
886,741,954,602,3.63,3.66,5.3,4.9,952,801,900,617,0,1213,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,2,-0.3359418172663348,0.04915172585307499,2.8699132727590983e-05,0.0,0.0,4.268801303556514,4.454133735637464
688,777,884,596,3.63,3.66,5.3,4.9,952,801,900,617,0,1503,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-1.1427629631011074,0.19219205074687007,-0.5467973735004676,0.0,0.0,3.4619801577217415,3.907307663004269
916,790,876,604,3.63,3.66,5.3,4.9,952,801,900,617,0,1794,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.2512772569175723,0.17404846494852452,-0.6493568961754861,0.0,0.0,4.353465863905277,3.804748140329251
1073,772,910,613,3.63,3.66,5.3,4.9,952,801,900,617,0,2080,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,1,0.3599478624385136,0.06762008833005348,-0.38178654798683415,0.0,0.0,4.964690983261362,4.072318488517903
1025,767,920,603,3.63,3.66,5.3,4.9,952,801,900,617,0,2372,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,1,0.17365529772865645,0.09985325757740146,-0.29136074549900004,0.0,0.0,4.778398418551506,4.162744291005737
857,775,905,599,3.63,3.66,5.3,4.9,952,801,900,617,0,2655,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.4689752518332118,0.1528826142574009,-0.4017725153068907,0.0,0.0,4.135767868989637,4.0523325211978465
942,765,902,603,3.63,3.66,5.3,4.9,952,801,900,617,0,2940,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.14308718996695896,0.11222915853305235,-0.43613643326584517,0.0,0.0,4.46165593085589,4.0179686032388915
1115,734,1003,608,3.63,3.66,5.3,4.9,952,801,900,617,0,3236,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,1,0.4572549748463388,-0.03048642860930331,0.42798255970792065,0.0,0.0,5.061998095669187,4.882087596212657
778,787,869,598,3.63,3.66,5.3,4.9,952,801,900,617,0,3537,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.8049169652329929,0.20660243419750413,-0.6805202597034584,0.0,0.0,3.799826155589856,3.7735847768012785
971,753,960,608,3.63,3.66,5.3,4.9,952,801,900,617,0,3858,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,2,-0.028812338717811983,0.03571361086923972,0.05075117925141941,0.0,0.0,4.575930782105037,4.504856215756156
1096,766,929,606,3.63,3.66,5.3,4.9,952,801,900,617,0,4163,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,1,0.43699830229869135,0.07435012348050199,-0.218020953364888,0.0,0.0,5.0417414231215405,4.236084083139849
834,811,817,601,3.63,3.66,5.3,4.9,952,801,900,617,0,4476,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.6168411004507456,0.27213685526770554,-1.1117019265754082,0.0,0.0,3.987902020372103,3.3424031099293288
938,770,908,600,3.63,3.66,5.3,4.9,952,801,900,617,0,4772,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,1,-0.15733484398144593,0.13154566155582953,-0.3854320295682802,0.0,0.0,4.447408276841403,4.068673006936456
919,762,932,608,3.63,3.66,5.3,4.9,952,801,900,617,0,5060,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.22316052838337286,0.07120232819110098,-0.18348758631615614,0.0,0.0,4.381582592439476,4.270617450188581
950,776,901,603,3.63,3.66,5.3,4.9,952,801,900,617,0,5361,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,2,-0.11234383745508847,0.1335020721816618,-0.4454630409855296,0.0,0.0,4.49239928336776,4.008641995519207
750,750,931,596,3.63,3.66,5.3,4.9,952,801,900,617,0,5648,..\movie\anzai_keisuke\usiro\after\220628_02.mp4,0,-0.8512564529058075,0.111553580517932,-0.18350649231635885,0.0,0.0,3.7534866679170413,4.270598544188378
