usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
1101,751,991,599,3.3,4.9,5.7,4.9,953,800,894,619,1,134,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
975,728,894,619,3.3,4.9,5.7,4.9,953,800,894,619,1,422,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
876,712,1034,597,3.3,4.9,5.7,4.9,953,800,894,619,1,717,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
1027,711,980,596,3.3,4.9,5.7,4.9,953,800,894,619,1,1022,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
918,729,1086,604,3.3,4.9,5.7,4.9,953,800,894,619,1,1289,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
970,723,1028,610,3.3,4.9,5.7,4.9,953,800,894,619,1,1593,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
856,728,998,603,3.3,4.9,5.7,4.9,953,800,894,619,1,1897,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
918,718,1006,602,3.3,4.9,5.7,4.9,953,800,894,619,1,2203,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,2
985,744,1014,607,3.3,4.9,5.7,4.9,953,800,894,619,1,2515,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
1051,740,1085,603,3.3,4.9,5.7,4.9,953,800,894,619,1,2839,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
975,740,1043,599,3.3,4.9,5.7,4.9,953,800,894,619,1,3138,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
898,736,954,604,3.3,4.9,5.7,4.9,953,800,894,619,1,3448,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
1091,752,969,606,3.3,4.9,5.7,4.9,953,800,894,619,1,3738,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
1005,746,1075,599,3.3,4.9,5.7,4.9,953,800,894,619,1,4027,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
854,749,917,606,3.3,4.9,5.7,4.9,953,800,894,619,1,4328,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
909,732,1002,608,3.3,4.9,5.7,4.9,953,800,894,619,1,4607,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,2
903,728,1085,602,3.3,4.9,5.7,4.9,953,800,894,619,1,4902,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
886,733,999,603,3.3,4.9,5.7,4.9,953,800,894,619,1,5202,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
1050,731,1049,606,3.3,4.9,5.7,4.9,953,800,894,619,1,5492,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,1
817,738,1004,607,3.3,4.9,5.7,4.9,953,800,894,619,1,5822,..\movie\anzai_kento\usiro\after\220628_01(2).mp4,0
