usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
963,768,932,597,3.7,4.9,4.8,3.66,952,801,900,617,0,188,..\movie\anzai_kento\usiro\after\220628_03.mp4,2
865,737,960,605,3.7,4.9,4.8,3.66,952,801,900,617,0,482,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
1032,736,989,607,3.7,4.9,4.8,3.66,952,801,900,617,0,783,..\movie\anzai_kento\usiro\after\220628_03.mp4,2
927,734,992,601,3.7,4.9,4.8,3.66,952,801,900,617,0,1099,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
1050,743,995,608,3.7,4.9,4.8,3.66,952,801,900,617,0,1386,..\movie\anzai_kento\usiro\after\220628_03.mp4,1
927,723,1006,604,3.7,4.9,4.8,3.66,952,801,900,617,0,1655,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
1045,706,1041,605,3.7,4.9,4.8,3.66,952,801,900,617,0,1951,..\movie\anzai_kento\usiro\after\220628_03.mp4,2
1049,723,1022,603,3.7,4.9,4.8,3.66,952,801,900,617,0,2244,..\movie\anzai_kento\usiro\after\220628_03.mp4,2
875,771,914,607,3.7,4.9,4.8,3.66,952,801,900,617,0,2536,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
1096,741,1003,613,3.7,4.9,4.8,3.66,952,801,900,617,0,2809,..\movie\anzai_kento\usiro\after\220628_03.mp4,1
1110,726,1049,612,3.7,4.9,4.8,3.66,952,801,900,617,0,3100,..\movie\anzai_kento\usiro\after\220628_03.mp4,1
923,732,1020,603,3.7,4.9,4.8,3.66,952,801,900,617,0,3391,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
813,762,919,600,3.7,4.9,4.8,3.66,952,801,900,617,0,3682,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
933,749,959,607,3.7,4.9,4.8,3.66,952,801,900,617,0,3975,..\movie\anzai_kento\usiro\after\220628_03.mp4,2
973,733,1007,597,3.7,4.9,4.8,3.66,952,801,900,617,0,4282,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
991,745,949,617,3.7,4.9,4.8,3.66,952,801,900,617,0,4587,..\movie\anzai_kento\usiro\after\220628_03.mp4,2
948,737,1024,605,3.7,4.9,4.8,3.66,952,801,900,617,0,4887,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
1154,741,1023,614,3.7,4.9,4.8,3.66,952,801,900,617,0,5174,..\movie\anzai_kento\usiro\after\220628_03.mp4,1
876,727,1010,602,3.7,4.9,4.8,3.66,952,801,900,617,0,5489,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
872,721,1037,603,3.7,4.9,4.8,3.66,952,801,900,617,0,5780,..\movie\anzai_kento\usiro\after\220628_03.mp4,0
