usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
1029,741,976,616,3.3,4.9,5.7,4.9,986,791,896,622,0,85,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
974,719,1026,617,3.3,4.9,5.7,4.9,986,791,896,622,0,397,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
982,730,1005,617,3.3,4.9,5.7,4.9,986,791,896,622,0,738,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
983,723,1034,615,3.3,4.9,5.7,4.9,986,791,896,622,0,1083,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
1091,713,1052,613,3.3,4.9,5.7,4.9,986,791,896,622,0,1400,..\movie\anzai_riku\usiro\after\220614_01.mp4,1
948,718,1022,609,3.3,4.9,5.7,4.9,986,791,896,622,0,1724,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
1118,721,1020,612,3.3,4.9,5.7,4.9,986,791,896,622,0,2025,..\movie\anzai_riku\usiro\after\220614_01.mp4,1
958,700,1074,611,3.3,4.9,5.7,4.9,986,791,896,622,0,2318,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
963,722,1044,616,3.3,4.9,5.7,4.9,986,791,896,622,0,2630,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
1078,693,1133,605,3.3,4.9,5.7,4.9,986,791,896,622,0,2973,..\movie\anzai_riku\usiro\after\220614_01.mp4,1
1006,722,1031,619,3.3,4.9,5.7,4.9,986,791,896,622,0,3315,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
982,714,1102,610,3.3,4.9,5.7,4.9,986,791,896,622,0,3655,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
1022,722,1048,615,3.3,4.9,5.7,4.9,986,791,896,622,0,4009,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
997,729,1009,616,3.3,4.9,5.7,4.9,986,791,896,622,0,4348,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
876,759,921,605,3.3,4.9,5.7,4.9,986,791,896,622,0,4672,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
1056,739,960,615,3.3,4.9,5.7,4.9,986,791,896,622,0,5004,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
861,751,957,601,3.3,4.9,5.7,4.9,986,791,896,622,0,5307,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
1089,737,1007,611,3.3,4.9,5.7,4.9,986,791,896,622,0,5585,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
1068,722,1038,611,3.3,4.9,5.7,4.9,986,791,896,622,0,5895,..\movie\anzai_riku\usiro\after\220614_01.mp4,2
1010,728,1002,615,3.3,4.9,5.7,4.9,986,791,896,622,0,6205,..\movie\anzai_riku\usiro\after\220614_01.mp4,0
