usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
932,805,853,614,3.3,4.9,5.7,4.9,998,820,887,626,0,131,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
991,787,898,611,3.3,4.9,5.7,4.9,998,820,887,626,0,416,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
1012,798,883,614,3.3,4.9,5.7,4.9,998,820,887,626,0,699,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
1033,762,973,605,3.3,4.9,5.7,4.9,998,820,887,626,0,980,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,2
962,814,844,609,3.3,4.9,5.7,4.9,998,820,887,626,0,1277,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,2
960,749,1006,611,3.3,4.9,5.7,4.9,998,820,887,626,0,1554,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
1057,821,820,617,3.3,4.9,5.7,4.9,998,820,887,626,0,1863,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
902,785,907,613,3.3,4.9,5.7,4.9,998,820,887,626,0,2166,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
964,746,1019,613,3.3,4.9,5.7,4.9,998,820,887,626,0,2480,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,2
996,784,871,608,3.3,4.9,5.7,4.9,998,820,887,626,0,2779,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
863,750,1009,613,3.3,4.9,5.7,4.9,998,820,887,626,0,3092,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
824,790,885,606,3.3,4.9,5.7,4.9,998,820,887,626,0,3407,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
878,778,918,608,3.3,4.9,5.7,4.9,998,820,887,626,0,3746,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
904,810,844,612,3.3,4.9,5.7,4.9,998,820,887,626,0,4092,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
874,785,896,610,3.3,4.9,5.7,4.9,998,820,887,626,0,4411,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
1036,787,906,614,3.3,4.9,5.7,4.9,998,820,887,626,0,4761,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,2
974,782,894,613,3.3,4.9,5.7,4.9,998,820,887,626,0,5079,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
1001,774,943,609,3.3,4.9,5.7,4.9,998,820,887,626,0,5453,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,2
900,802,864,610,3.3,4.9,5.7,4.9,998,820,887,626,0,5781,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,0
1116,798,898,608,3.3,4.9,5.7,4.9,998,820,887,626,0,6107,..\movie\anzai_riku\usiro\after\220627_01(2).mp4,2
