usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
909,793,881,655,3.63,3.66,5.3,4.9,947,825,900,659,1,169,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.277447885,-0.035620029,-0.606628837,-0.124096278,-0.453502898,4.346648393,3.846874061
905,761,1006,632,3.63,3.66,5.3,4.9,947,825,900,659,1,469,..\movie\anzai_riku\usiro\after\220620_02.mp4,0,-0.248820601,-0.069386862,0.433026324,0,0,4.375275677,4.886529222
1008,755,1028,648,3.63,3.66,5.3,4.9,947,825,900,659,1,785,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,0.093989684,-0.170537853,0.630835441,0,0,4.718085962,5.084338339
915,753,1005,643,3.63,3.66,5.3,4.9,947,825,900,659,1,1074,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,-0.215488654,-0.129604324,0.425679028,0,0,4.408607624,4.879181927
1069,757,1009,653,3.63,3.66,5.3,4.9,947,825,900,659,1,1375,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,0.300079296,-0.18657834,0.475403448,0,0,4.924175574,4.928906346
996,761,990,641,3.63,3.66,5.3,4.9,947,825,900,659,1,1672,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,0.058216347,-0.109146632,0.306165962,0,0,4.682312625,4.75966886
872,748,1039,640,3.63,3.66,5.3,4.9,947,825,900,659,1,1971,..\movie\anzai_riku\usiro\after\220620_02.mp4,0,-0.343005943,-0.13773713,0.703200007,0,0,4.281090335,5.156702905
891,785,939,639,3.63,3.66,5.3,4.9,947,825,900,659,1,2286,..\movie\anzai_riku\usiro\after\220620_02.mp4,0,-0.324208988,-0.016863054,-0.124222798,0,0,4.29988729,4.3292801
882,799,874,644,3.63,3.66,5.3,4.9,947,825,900,659,1,2581,..\movie\anzai_riku\usiro\after\220620_02.mp4,0,-0.387371314,0.029900545,-0.659734615,0,0,4.236724964,3.793768283
941,760,1001,644,3.63,3.66,5.3,4.9,947,825,900,659,1,2881,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,-0.128690525,-0.122960336,0.394645526,0,0,4.495405752,4.848148424
891,762,977,642,3.63,3.66,5.3,4.9,947,825,900,659,1,3196,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,-0.308188168,-0.092296482,0.190760074,0,0,4.31590811,4.644262972
857,795,909,650,3.63,3.66,5.3,4.9,947,825,900,659,1,3526,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.466666941,-0.021356352,-0.369032286,0,0,4.157429337,4.084470612
842,790,906,648,3.63,3.66,5.3,4.9,947,825,900,659,1,3850,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.525840992,-0.019000778,-0.39199982,0,0,4.098255285,4.061503078
926,763,968,649,3.63,3.66,5.3,4.9,947,825,900,659,1,4173,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.187933868,-0.119272095,0.117096399,0,0,4.43616241,4.570599297
1024,759,980,640,3.63,3.66,5.3,4.9,947,825,900,659,1,4471,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,0.156529074,-0.106293769,0.222601109,0,0,4.780625351,4.676104007
964,776,959,643,3.63,3.66,5.3,4.9,947,825,900,659,1,4773,..\movie\anzai_riku\usiro\after\220620_02.mp4,1,-0.053954934,-0.070361242,0.042225048,0,0,4.570141344,4.495727946
907,777,949,652,3.63,3.66,5.3,4.9,947,825,900,659,1,5085,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.261852247,-0.093626232,-0.041567979,0,0,4.36224403,4.41193492
891,785,913,650,3.63,3.66,5.3,4.9,947,825,900,659,1,5405,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.335150066,-0.047264173,-0.339333646,0,0,4.288946212,4.114169252
904,787,940,644,3.63,3.66,5.3,4.9,947,825,900,659,1,5723,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.27599693,-0.036175967,-0.116328189,0,0,4.348099347,4.337174709
804,820,844,641,3.63,3.66,5.3,4.9,947,825,900,659,1,6044,..\movie\anzai_riku\usiro\after\220620_02.mp4,2,-0.721596405,0.113449393,-0.885962366,0,0,3.902499873,3.567540532
