usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
971,774,936,597,3.7,4.9,4.8,3.66,956,819,899,611,1,146,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
978,762,975,597,3.7,4.9,4.8,3.66,956,819,899,611,1,396,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
966,782,910,595,3.7,4.9,4.8,3.66,956,819,899,611,1,649,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
904,763,970,592,3.7,4.9,4.8,3.66,956,819,899,611,1,910,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
934,785,916,599,3.7,4.9,4.8,3.66,956,819,899,611,1,1196,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,1
967,795,870,595,3.7,4.9,4.8,3.66,956,819,899,611,1,1466,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
833,769,948,585,3.7,4.9,4.8,3.66,956,819,899,611,1,1733,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,0
1001,760,963,595,3.7,4.9,4.8,3.66,956,819,899,611,1,2021,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,0
901,778,927,590,3.7,4.9,4.8,3.66,956,819,899,611,1,2308,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
924,824,825,593,3.7,4.9,4.8,3.66,956,819,899,611,1,2609,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,1
1195,806,886,601,3.7,4.9,4.8,3.66,956,819,899,611,1,2894,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,1
1070,811,851,589,3.7,4.9,4.8,3.66,956,819,899,611,1,3242,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
895,785,928,596,3.7,4.9,4.8,3.66,956,819,899,611,1,3536,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,0
986,767,967,594,3.7,4.9,4.8,3.66,956,819,899,611,1,3833,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
883,815,859,591,3.7,4.9,4.8,3.66,956,819,899,611,1,4143,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
1130,798,884,599,3.7,4.9,4.8,3.66,956,819,899,611,1,4452,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,1
900,775,956,593,3.7,4.9,4.8,3.66,956,819,899,611,1,4773,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,0
1167,794,898,601,3.7,4.9,4.8,3.66,956,819,899,611,1,5086,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,1
937,771,948,599,3.7,4.9,4.8,3.66,956,819,899,611,1,5399,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,0
928,803,882,593,3.7,4.9,4.8,3.66,956,819,899,611,1,5718,..\movie\hinata_keisuke\usiro\after\220707_03(2).mp4,2
