usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
835,767,962,588,3.63,3.66,5.3,4.9,956,818,899,610,0,140,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,-0.514636825684921,0.15339668951869895,0.06541801275132826,-0.08937012413903393,-0.4630020900888875,4.074733298454113,4.528420102840216
937,767,967,601,3.63,3.66,5.3,4.9,956,818,899,610,0,423,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,-0.14915816532655907,0.0894022328752003,0.10902497593411928,0.0,0.0,4.440211958812474,4.572027066023007
873,808,892,589,3.63,3.66,5.3,4.9,956,818,899,610,0,700,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.41414360240655895,0.2650782931007807,-0.5103315097925031,0.0,0.0,4.175226521732475,3.9526705802963846
936,776,930,596,3.63,3.66,5.3,4.9,956,818,899,610,0,970,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,-0.16041596561117455,0.14759151788924077,-0.2010384730139479,0.0,0.0,4.428954158527859,4.261963617074939
996,785,936,598,3.63,3.66,5.3,4.9,956,818,899,610,0,1221,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,1,0.06271444309417169,0.14811040101129908,-0.153085394880201,0.0,0.0,4.652084567233206,4.3099166952086865
761,794,888,598,3.63,3.66,5.3,4.9,956,818,899,610,0,1500,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.853584436003172,0.21048316472748752,-0.5265470497376434,0.0,0.0,3.735785688135862,3.936455040351244
1030,762,950,598,3.63,3.66,5.3,4.9,956,818,899,610,0,1803,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,0.18498210469158274,0.09543794148184821,-0.034277597340209964,0.0,0.0,4.774352228830617,4.428724492748677
870,770,926,580,3.63,3.66,5.3,4.9,956,818,899,610,0,2104,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.408235223752414,0.20946037105719797,-0.23055195500331763,0.0,0.0,4.18113490038662,4.232450135085569
1013,763,961,598,3.63,3.66,5.3,4.9,956,818,899,610,0,2396,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,0.12142089317871732,0.09257094718033596,0.05981108214954823,0.0,0.0,4.710791017317751,4.522813172238436
906,797,884,596,3.63,3.66,5.3,4.9,956,818,899,610,0,2695,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,-0.2882603720744775,0.21727289990117282,-0.5812616062310022,0.0,0.0,4.301109752064557,3.881740483857885
890,781,902,598,3.63,3.66,5.3,4.9,956,818,899,610,0,2993,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.3436271099918683,0.167978724509421,-0.4301281012390984,0.0,0.0,4.245743014147165,4.032873988849789
995,769,927,600,3.63,3.66,5.3,4.9,956,818,899,610,0,3263,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,1,0.059720656544476065,0.1149215324105237,-0.22959627000291477,0.0,0.0,4.64909078068351,4.233405820085973
888,817,860,591,3.63,3.66,5.3,4.9,956,818,899,610,0,3574,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.3695448043590186,0.29466449140896506,-0.7761586868695377,0.0,0.0,4.219825319780015,3.68684340321935
835,827,819,592,3.63,3.66,5.3,4.9,956,818,899,610,0,3885,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.6112738767246785,0.34160164116230934,-1.0959053425408238,0.0,0.0,3.9780962474143555,3.3670967475480635
1041,801,875,598,3.63,3.66,5.3,4.9,956,818,899,610,0,4182,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,1,0.24804101313377097,0.21334879898480602,-0.6804105100771891,0.0,0.0,4.837411137272805,3.7825915800116983
834,793,898,594,3.63,3.66,5.3,4.9,956,818,899,610,0,4488,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.561914044404854,0.21390737780756075,-0.4561739242767959,0.0,0.0,4.02745607973418,4.006828165812092
953,833,825,590,3.63,3.66,5.3,4.9,956,818,899,610,0,4803,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,-0.11035415600056338,0.3525763913930394,-1.084429916426338,0.0,0.0,4.47901596813847,3.3785721736625494
957,808,852,600,3.63,3.66,5.3,4.9,956,818,899,610,0,5117,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.09053037669691216,0.2394549831460248,-0.8586151779561003,0.0,0.0,4.498839747442122,3.604386912132787
800,811,845,585,3.63,3.66,5.3,4.9,956,818,899,610,0,5441,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,0,-0.7371516238280934,0.3212423778662992,-0.8769309697737958,0.0,0.0,3.8522185003109404,3.5860711203150917
943,798,901,596,3.63,3.66,5.3,4.9,956,818,899,610,0,5767,..\movie\hinata_keisuke\usiro\after\220707_02(2).mp4,2,-0.13940171110951466,0.206252762245619,-0.4446367750970004,0.0,0.0,4.449968413029519,4.018365314991887
