usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
845,765,983,594,3.63,3.66,5.3,4.9,955,823,898,607,1,180,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.46555417685101,0.11315104681378652,0.2378861678063415,-0.09336327702442432,-0.4712919991668589,4.1278091001734145,4.7091781669732
972,754,1025,597,3.63,3.66,5.3,4.9,955,823,898,607,1,535,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,-0.022993729053201517,0.050669587125005106,0.6004761212099374,0.0,0.0,4.5703695479712225,5.071768120376796
1069,742,1040,592,3.63,3.66,5.3,4.9,955,823,898,607,1,898,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,0.28619156234010823,0.03838669568539428,0.7426530088747646,0.0,0.0,4.879554839364532,5.213945008041623
884,753,1021,587,3.63,3.66,5.3,4.9,955,823,898,607,1,1302,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.3126659172684815,0.0992482564889435,0.5554645028688164,0.0,0.0,4.280697359755943,5.026756502035675
874,739,1038,585,3.63,3.66,5.3,4.9,955,823,898,607,1,1664,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.33708194385284534,0.07698033418182634,0.6952141448267881,0.0,0.0,4.256281333171579,5.166506143993647
853,758,1008,587,3.63,3.66,5.3,4.9,955,823,898,607,1,2030,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.4227417056022408,0.11628533358957925,0.4442681367458895,0.0,0.0,4.170621571422184,4.915560135912749
822,746,1017,590,3.63,3.66,5.3,4.9,955,823,898,607,1,2383,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.5203163670919517,0.0813053556937414,0.5147658137610189,0.0,0.0,4.073046909932472,4.986057812927878
901,752,1015,592,3.63,3.66,5.3,4.9,955,823,898,607,1,2720,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,-0.25889928321606825,0.07864147642502915,0.5076139188426098,0.0,0.0,4.334463993808356,4.978905918009469
910,741,1049,585,3.63,3.66,5.3,4.9,955,823,898,607,1,3063,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,-0.21766910834718947,0.0726499159011952,0.7927871942561713,0.0,0.0,4.375694168677235,5.26407919342303
1023,760,987,583,3.63,3.66,5.3,4.9,955,823,898,607,1,3393,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,0.1515279896981305,0.13718645543037142,0.2824290809659488,0.0,0.0,4.744891266722555,4.753721080132808
772,753,1023,587,3.63,3.66,5.3,4.9,955,823,898,607,1,3773,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.6808744007055315,0.1054273796856264,0.5574045961039721,0.0,0.0,3.9124888763188927,5.028696595270831
907,746,1050,594,3.63,3.66,5.3,4.9,955,823,898,607,1,4110,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.22680047327353947,0.042500585129116426,0.8006268901732074,0.0,0.0,4.366562803750885,5.271918889340066
853,745,1018,589,3.63,3.66,5.3,4.9,955,823,898,607,1,4492,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.41673537211953915,0.08122187527142952,0.5267562405211564,0.0,0.0,4.176627904904885,4.998048239688015
1079,758,1018,600,3.63,3.66,5.3,4.9,955,823,898,607,1,4890,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,0.3288852534000077,0.039984973190488035,0.5542541779875712,0.0,0.0,4.922248530424432,5.02554617715443
793,732,1052,580,3.63,3.66,5.3,4.9,955,823,898,607,1,5250,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.5860626934527648,0.08472295396554815,0.7970183668905801,0.0,0.0,4.007300583571659,5.268310366057439
1006,735,1075,593,3.63,3.66,5.3,4.9,955,823,898,607,1,5647,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,0.08127269894313081,0.01077515482674543,1.0305957538799109,0.0,0.0,4.674635975967555,5.50188775304677
1008,747,1041,595,3.63,3.66,5.3,4.9,955,823,898,607,1,6030,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,1,0.09213763840377212,0.03717077157299414,0.7415598442491202,0.0,0.0,4.685500915428197,5.212851843415979
871,741,1053,590,3.63,3.66,5.3,4.9,955,823,898,607,1,6402,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,2,-0.33896704027371205,0.05233296692069798,0.8192468652141932,0.0,0.0,4.254396236750712,5.290538864381052
864,757,1005,588,3.63,3.66,5.3,4.9,955,823,898,607,1,6779,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.3874202236087874,0.11131208895814027,0.42062620608608287,0.0,0.0,4.205943053415637,4.891918205252942
837,749,1018,587,3.63,3.66,5.3,4.9,955,823,898,607,1,7144,..\movie\hinata_kento\usiro\after\220705_02(2).mp4,0,-0.4697956552646083,0.09715823176619667,0.5247994165037727,0.0,0.0,4.123567621759816,4.996091415670632
