usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
1035,748,961,590,3.63,3.66,5.3,4.9,979,805,901,608,1,138,..\movie\hinata_kento\usiro\after\220729_02 .mp4,1,0.20008217358847682,0.09859162241488784,0.06012851570321932,-0.00017574329632323186,-0.44888831642174454,4.7002579168848,4.5090168321249635
910,748,959,594,3.63,3.66,5.3,4.9,979,805,901,608,1,442,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.24762867533632724,0.09097710501296256,0.041666679870264914,0.0,0.0,4.252547067959996,4.490554996292009
1117,763,935,599,3.63,3.66,5.3,4.9,979,805,901,608,1,782,..\movie\hinata_kento\usiro\after\220729_02 .mp4,2,0.5113586336581329,0.09462977118233598,-0.1665026098094055,0.0,0.0,5.011534376954456,4.282385706612339
894,771,926,590,3.63,3.66,5.3,4.9,979,805,901,608,1,1127,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.318457156864763,0.1684039241923877,-0.2320002372246824,0.0,0.0,4.18171858643156,4.216888079197062
923,746,983,597,3.63,3.66,5.3,4.9,979,805,901,608,1,1856,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.19450510649234223,0.06198669083341951,0.2424159419497251,0.0,0.0,4.305670636803981,4.69130425837147
868,742,985,591,3.63,3.66,5.3,4.9,979,805,901,608,1,2194,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.38452753741820755,0.08294895278002697,0.2557376431135678,0.0,0.0,4.115648205878116,4.704625959535313
997,744,980,587,3.63,3.66,5.3,4.9,979,805,901,608,1,2469,..\movie\hinata_kento\usiro\after\220729_02 .mp4,1,0.06253136136135652,0.0973765538411332,0.2211927054314184,0.0,0.0,4.5627071046576795,4.6700810218531625
1127,740,988,590,3.63,3.66,5.3,4.9,979,805,901,608,1,2778,..\movie\hinata_kento\usiro\after\220729_02 .mp4,1,0.5087254996216308,0.0651686097650553,0.2979852252467635,0.0,0.0,5.008901242917954,4.746873541668508
1099,759,917,598,3.63,3.66,5.3,4.9,979,805,901,608,1,3095,..\movie\hinata_kento\usiro\after\220729_02 .mp4,1,0.45548788368125076,0.10249991156499391,-0.32307968262372855,0.0,0.0,4.955663626977574,4.125808633798016
893,750,981,586,3.63,3.66,5.3,4.9,979,805,901,608,1,3389,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.29953199008965337,0.11805230982617748,0.22406542427999193,0.0,0.0,4.20064375320667,4.672953740701736
1008,769,914,596,3.63,3.66,5.3,4.9,979,805,901,608,1,3701,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,0.11025059106446089,0.13832712411830492,-0.3413213485389525,0.0,0.0,4.610426334360784,4.107566967882792
887,774,905,586,3.63,3.66,5.3,4.9,979,805,901,608,1,4041,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.35386917693970044,0.20284931997087113,-0.4050222080068508,0.0,0.0,4.146306566356623,4.0438661084148935
936,728,1017,587,3.63,3.66,5.3,4.9,979,805,901,608,1,4341,..\movie\hinata_kento\usiro\after\220729_02 .mp4,2,-0.14227501141179058,0.05651870368854836,0.5284898693274199,0.0,0.0,4.357900731884532,4.977378185749164
967,722,1061,589,3.63,3.66,5.3,4.9,979,805,901,608,1,4672,..\movie\hinata_kento\usiro\after\220729_02 .mp4,2,-0.037199534511344334,0.01687688909366227,0.904052142605306,0.0,0.0,4.462976208784979,5.35294045902705
936,748,968,593,3.63,3.66,5.3,4.9,979,805,901,608,1,4986,..\movie\hinata_kento\usiro\after\220729_02 .mp4,2,-0.15249789466450123,0.0888917528085543,0.11738232827246399,0.0,0.0,4.347677848631822,4.5662706446942085
979,752,979,591,3.63,3.66,5.3,4.9,979,805,901,608,1,5298,..\movie\hinata_kento\usiro\after\220729_02 .mp4,1,-0.00015841077896050149,0.09595363865461008,0.21178324536472318,0.0,0.0,4.500017332517363,4.660671561786468
1048,747,959,593,3.63,3.66,5.3,4.9,979,805,901,608,1,5602,..\movie\hinata_kento\usiro\after\220729_02 .mp4,1,0.24724609502950917,0.08395878081092795,0.043093420726107404,0.0,0.0,4.747421838325832,4.491981737147852
894,745,965,590,3.63,3.66,5.3,4.9,979,805,901,608,1,5898,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.3025743936074416,0.1004263913874324,0.09128367391524204,0.0,0.0,4.197601349688882,4.540171990336987
740,746,963,581,3.63,3.66,5.3,4.9,979,805,901,608,1,6196,..\movie\hinata_kento\usiro\after\220729_02 .mp4,0,-0.853160925232229,0.14935962297614103,0.07183550491190716,0.0,0.0,3.647014818064094,4.520723821333652
