usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
898,754,957,592,3.7,4.9,4.8,3.66,972,807,903,613,0,170,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
897,729,1029,592,3.7,4.9,4.8,3.66,972,807,903,613,0,459,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
1022,739,982,592,3.7,4.9,4.8,3.66,972,807,903,613,0,764,..\movie\hinata_riku\usiro\after\220617_03.mp4,2
949,727,1077,590,3.7,4.9,4.8,3.66,972,807,903,613,0,1071,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
1040,727,1012,583,3.7,4.9,4.8,3.66,972,807,903,613,0,1388,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
983,760,954,594,3.7,4.9,4.8,3.66,972,807,903,613,0,1707,..\movie\hinata_riku\usiro\after\220617_03.mp4,2
905,736,993,586,3.7,4.9,4.8,3.66,972,807,903,613,0,2013,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
964,762,950,592,3.7,4.9,4.8,3.66,972,807,903,613,0,2330,..\movie\hinata_riku\usiro\after\220617_03.mp4,2
942,747,1002,592,3.7,4.9,4.8,3.66,972,807,903,613,0,2656,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
1095,737,1027,593,3.7,4.9,4.8,3.66,972,807,903,613,0,2981,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
971,769,932,595,3.7,4.9,4.8,3.66,972,807,903,613,0,3341,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
688,767,933,583,3.7,4.9,4.8,3.66,972,807,903,613,0,3665,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
991,738,1014,586,3.7,4.9,4.8,3.66,972,807,903,613,0,4046,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
966,744,1021,593,3.7,4.9,4.8,3.66,972,807,903,613,0,4396,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
1079,755,978,595,3.7,4.9,4.8,3.66,972,807,903,613,0,4742,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
1034,731,1029,592,3.7,4.9,4.8,3.66,972,807,903,613,0,5093,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
972,752,975,592,3.7,4.9,4.8,3.66,972,807,903,613,0,5443,..\movie\hinata_riku\usiro\after\220617_03.mp4,2
1052,750,979,591,3.7,4.9,4.8,3.66,972,807,903,613,0,5797,..\movie\hinata_riku\usiro\after\220617_03.mp4,1
829,734,1035,584,3.7,4.9,4.8,3.66,972,807,903,613,0,6152,..\movie\hinata_riku\usiro\after\220617_03.mp4,0
941,718,1045,591,3.7,4.9,4.8,3.66,972,807,903,613,0,6524,..\movie\hinata_riku\usiro\after\220617_03.mp4,2
