usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
980,753,1013,594,3.7,4.9,4.8,3.66,956,823,899,608,1,147,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
899,797,876,590,3.7,4.9,4.8,3.66,956,823,899,608,1,453,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
892,785,907,592,3.7,4.9,4.8,3.66,956,823,899,608,1,720,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,0
951,813,845,591,3.7,4.9,4.8,3.66,956,823,899,608,1,1001,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,1
972,780,930,592,3.7,4.9,4.8,3.66,956,823,899,608,1,1244,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,1
868,781,914,589,3.7,4.9,4.8,3.66,956,823,899,608,1,1520,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,0
634,789,908,574,3.7,4.9,4.8,3.66,956,823,899,608,1,1810,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
876,775,926,584,3.7,4.9,4.8,3.66,956,823,899,608,1,2209,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
725,804,875,588,3.7,4.9,4.8,3.66,956,823,899,608,1,2521,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,0
1093,777,948,600,3.7,4.9,4.8,3.66,956,823,899,608,1,2861,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,1
934,805,880,589,3.7,4.9,4.8,3.66,956,823,899,608,1,3169,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
1057,784,903,593,3.7,4.9,4.8,3.66,956,823,899,608,1,3489,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
972,773,954,591,3.7,4.9,4.8,3.66,956,823,899,608,1,3804,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
825,777,943,580,3.7,4.9,4.8,3.66,956,823,899,608,1,4116,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,0
1105,772,934,601,3.7,4.9,4.8,3.66,956,823,899,608,1,4452,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,1
892,798,882,589,3.7,4.9,4.8,3.66,956,823,899,608,1,4807,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
941,784,918,592,3.7,4.9,4.8,3.66,956,823,899,608,1,5126,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,1
1015,800,886,589,3.7,4.9,4.8,3.66,956,823,899,608,1,5447,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,1
955,819,845,589,3.7,4.9,4.8,3.66,956,823,899,608,1,5827,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,2
871,804,879,591,3.7,4.9,4.8,3.66,956,823,899,608,1,6166,..\movie\hinata_riku\usiro\after\220705_03(2).mp4,0
