usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
724,762,913,591,3.63,3.66,5.3,4.9,968,806,900,613,0,153,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.9686406015678856,0.1650445182807408,-0.32436901646403776,-0.04278964795730251,-0.45603260683050084,3.574149046389417,4.131663590366463
1089,768,915,602,3.63,3.66,5.3,4.9,968,806,900,613,0,450,..\movie\hinata_riku\usiro\after\220705_02.mp4,2,0.41857288871480436,0.10394836916648956,-0.33971560299185816,0.0,0.0,4.961362536672107,4.116317003838643
952,775,929,601,3.63,3.66,5.3,4.9,968,806,900,613,0,755,..\movie\hinata_riku\usiro\after\220705_02.mp4,2,-0.10093355549455647,0.12401500319272633,-0.2102730224911943,0.0,0.0,4.441856092462746,4.245759584339306
933,767,907,601,3.63,3.66,5.3,4.9,968,806,900,613,0,1034,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.1767097298956225,0.12248069339573654,-0.3932869514755565,0.0,0.0,4.36607991806168,4.062745655354944
929,747,958,596,3.63,3.66,5.3,4.9,968,806,900,613,0,1327,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.17972214339777565,0.07994444485373786,0.03349576762727392,0.0,0.0,4.363067504559527,4.489528374457775
898,740,992,599,3.63,3.66,5.3,4.9,968,806,900,613,0,1623,..\movie\hinata_riku\usiro\after\220705_02.mp4,1,-0.27783094149595294,0.04067451404271151,0.31581482279956197,0.0,0.0,4.26495870646135,4.771847429630062
1041,780,889,603,3.63,3.66,5.3,4.9,968,806,900,613,0,1949,..\movie\hinata_riku\usiro\after\220705_02.mp4,2,0.24371947773935074,0.1413413665868751,-0.5596642917854258,0.0,0.0,4.786509125696654,3.896368315045075
1113,759,963,591,3.63,3.66,5.3,4.9,968,806,900,613,0,2271,..\movie\hinata_riku\usiro\after\220705_02.mp4,1,0.47755409248714603,0.10777774726078532,0.07873907219362139,0.0,0.0,5.020343740444448,4.534771679024122
1002,763,939,606,3.63,3.66,5.3,4.9,968,806,900,613,0,2651,..\movie\hinata_riku\usiro\after\220705_02.mp4,2,0.0845723479670925,0.0709594738497477,-0.12775512303085446,0.0,0.0,4.627361995924395,4.3282774837996465
910,774,909,597,3.63,3.66,5.3,4.9,968,806,900,613,0,3034,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.2642193800815534,0.1532739266348125,-0.3742812103905354,0.0,0.0,4.278570267875749,4.081751396439966
1137,764,959,606,3.63,3.66,5.3,4.9,968,806,900,613,0,3365,..\movie\hinata_riku\usiro\after\220705_02.mp4,1,0.5662838304843867,0.050954893372945155,0.044013217407988046,0.0,0.0,5.109073478441689,4.500045824238489
1063,760,950,599,3.63,3.66,5.3,4.9,968,806,900,613,0,3714,..\movie\hinata_riku\usiro\after\220705_02.mp4,2,0.30479646734921206,0.08503378809603566,-0.03455350956166017,0.0,0.0,4.847586115306514,4.421479097268841
1077,749,956,602,3.63,3.66,5.3,4.9,968,806,900,613,0,4048,..\movie\hinata_riku\usiro\after\220705_02.mp4,1,0.35268477089969696,0.04783985153985003,0.017377006608984533,0.0,0.0,4.895474418857,4.473409613439485
951,759,951,598,3.63,3.66,5.3,4.9,968,806,900,613,0,4403,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.10166720791422378,0.09522445917010819,-0.025205827523233148,0.0,0.0,4.441122440043078,4.430826779307267
947,757,961,603,3.63,3.66,5.3,4.9,968,806,900,613,0,4767,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.11461136308853971,0.06552169730698401,0.05885858611213784,0.0,0.0,4.428178284868763,4.514891192942638
996,780,898,603,3.63,3.66,5.3,4.9,968,806,900,613,0,5129,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,0.06588141393318767,0.13950902108492197,-0.4764301257720116,0.0,0.0,4.60867106189049,3.9796024810584893
930,769,937,601,3.63,3.66,5.3,4.9,968,806,900,613,0,5485,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.181108663616745,0.11003471703999494,-0.14219112439707132,0.0,0.0,4.361680984340557,4.313841482433429
833,769,921,594,3.63,3.66,5.3,4.9,968,806,900,613,0,5823,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.5499992407762266,0.15482280385271244,-0.26903170935747844,0.0,0.0,3.992790407181076,4.187000897473022
1094,803,861,607,3.63,3.66,5.3,4.9,968,806,900,613,0,6174,..\movie\hinata_riku\usiro\after\220705_02.mp4,1,0.4690255743388737,0.18326762780742223,-0.8128363988733209,0.0,0.0,5.0118152222961765,3.64319620795718
967,801,851,600,3.63,3.66,5.3,4.9,968,806,900,613,0,6536,..\movie\hinata_riku\usiro\after\220705_02.mp4,0,-0.04954047899006796,0.22498828595174938,-0.8694659016632342,0.0,0.0,4.4932491689672345,3.5865667051672667
