usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
929,750,967,588,3.7,4.9,4.8,3.66,972,808,904,605,0,171,..\movie\keisuke_kento\usiro\after\220617_03.mp4,2
973,753,987,588,3.7,4.9,4.8,3.66,972,808,904,605,0,525,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
1163,749,989,593,3.7,4.9,4.8,3.66,972,808,904,605,0,892,..\movie\keisuke_kento\usiro\after\220617_03.mp4,1
995,741,1033,595,3.7,4.9,4.8,3.66,972,808,904,605,0,1244,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
1130,755,935,588,3.7,4.9,4.8,3.66,972,808,904,605,0,1651,..\movie\keisuke_kento\usiro\after\220617_03.mp4,1
1009,755,976,591,3.7,4.9,4.8,3.66,972,808,904,605,0,2021,..\movie\keisuke_kento\usiro\after\220617_03.mp4,2
1047,764,932,589,3.7,4.9,4.8,3.66,972,808,904,605,0,2410,..\movie\keisuke_kento\usiro\after\220617_03.mp4,2
918,741,995,585,3.7,4.9,4.8,3.66,972,808,904,605,0,2786,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
904,734,1028,591,3.7,4.9,4.8,3.66,972,808,904,605,0,3153,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
928,748,999,588,3.7,4.9,4.8,3.66,972,808,904,605,0,3529,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
1194,761,970,593,3.7,4.9,4.8,3.66,972,808,904,605,0,3899,..\movie\keisuke_kento\usiro\after\220617_03.mp4,1
848,739,1024,591,3.7,4.9,4.8,3.66,972,808,904,605,0,4259,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
956,737,989,585,3.7,4.9,4.8,3.66,972,808,904,605,0,4684,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
671,799,937,588,3.7,4.9,4.8,3.66,972,808,904,605,0,5078,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
1194,788,910,593,3.7,4.9,4.8,3.66,972,808,904,605,0,5511,..\movie\keisuke_kento\usiro\after\220617_03.mp4,1
1054,758,968,591,3.7,4.9,4.8,3.66,972,808,904,605,0,5940,..\movie\keisuke_kento\usiro\after\220617_03.mp4,1
1086,774,930,592,3.7,4.9,4.8,3.66,972,808,904,605,0,6334,..\movie\keisuke_kento\usiro\after\220617_03.mp4,1
1034,763,941,583,3.7,4.9,4.8,3.66,972,808,904,605,0,6700,..\movie\keisuke_kento\usiro\after\220617_03.mp4,2
978,757,945,590,3.7,4.9,4.8,3.66,972,808,904,605,0,7078,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
890,770,919,586,3.7,4.9,4.8,3.66,972,808,904,605,0,7471,..\movie\keisuke_kento\usiro\after\220617_03.mp4,0
