usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
945,755,1013,596,3.63,3.66,5.3,4.9,947,826,900,609,0,149,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
926,746,1055,594,3.63,3.66,5.3,4.9,947,826,900,609,0,439,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
882,769,980,589,3.63,3.66,5.3,4.9,947,826,900,609,0,724,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
806,731,1067,592,3.63,3.66,5.3,4.9,947,826,900,609,0,1024,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
862,742,1050,595,3.63,3.66,5.3,4.9,947,826,900,609,0,1329,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
936,766,979,594,3.63,3.66,5.3,4.9,947,826,900,609,0,1627,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
1075,750,1026,597,3.63,3.66,5.3,4.9,947,826,900,609,0,1932,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
948,747,1028,593,3.63,3.66,5.3,4.9,947,826,900,609,0,2245,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
715,807,875,587,3.63,3.66,5.3,4.9,947,826,900,609,0,2553,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,0
881,741,1025,588,3.63,3.66,5.3,4.9,947,826,900,609,0,2890,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
818,731,1075,591,3.63,3.66,5.3,4.9,947,826,900,609,0,3196,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
992,760,990,590,3.63,3.66,5.3,4.9,947,826,900,609,0,3544,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
888,743,1057,592,3.63,3.66,5.3,4.9,947,826,900,609,0,3856,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
875,733,1074,589,3.63,3.66,5.3,4.9,947,826,900,609,0,4183,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
864,748,1033,594,3.63,3.66,5.3,4.9,947,826,900,609,0,4510,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
849,748,1049,593,3.63,3.66,5.3,4.9,947,826,900,609,0,4837,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
1007,755,1013,595,3.63,3.66,5.3,4.9,947,826,900,609,0,5183,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,1
794,746,1049,587,3.63,3.66,5.3,4.9,947,826,900,609,0,5507,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,0
793,746,1029,588,3.63,3.66,5.3,4.9,947,826,900,609,0,5829,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,0
793,767,1056,595,3.63,3.66,5.3,4.9,947,826,900,609,0,6154,..\movie\keisuke_kento\usiro\after\220707_02(2).mp4,2
