usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target
1022,741,1035,574,3.63,3.66,5.3,4.9,964,809,909,583,1,204,..\movie\riku_kento\usiro\after\220705_02(2).mp4,1
1050,732,1052,565,3.63,3.66,5.3,4.9,964,809,909,583,1,472,..\movie\riku_kento\usiro\after\220705_02(2).mp4,1
1094,743,1029,564,3.63,3.66,5.3,4.9,964,809,909,583,1,842,..\movie\riku_kento\usiro\after\220705_02(2).mp4,1
905,749,990,562,3.63,3.66,5.3,4.9,964,809,909,583,1,1183,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
928,758,960,562,3.63,3.66,5.3,4.9,964,809,909,583,1,1524,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
988,765,952,577,3.63,3.66,5.3,4.9,964,809,909,583,1,1882,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
706,772,910,562,3.63,3.66,5.3,4.9,964,809,909,583,1,2211,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
966,745,1006,574,3.63,3.66,5.3,4.9,964,809,909,583,1,2564,..\movie\riku_kento\usiro\after\220705_02(2).mp4,2
957,757,976,569,3.63,3.66,5.3,4.9,964,809,909,583,1,2904,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
920,739,994,567,3.63,3.66,5.3,4.9,964,809,909,583,1,3236,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
857,759,954,564,3.63,3.66,5.3,4.9,964,809,909,583,1,3628,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
970,742,1017,570,3.63,3.66,5.3,4.9,964,809,909,583,1,3971,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
990,754,975,574,3.63,3.66,5.3,4.9,964,809,909,583,1,4332,..\movie\riku_kento\usiro\after\220705_02(2).mp4,2
1103,754,986,570,3.63,3.66,5.3,4.9,964,809,909,583,1,4685,..\movie\riku_kento\usiro\after\220705_02(2).mp4,1
999,743,1001,569,3.63,3.66,5.3,4.9,964,809,909,583,1,5051,..\movie\riku_kento\usiro\after\220705_02(2).mp4,1
994,764,971,571,3.63,3.66,5.3,4.9,964,809,909,583,1,5387,..\movie\riku_kento\usiro\after\220705_02(2).mp4,1
917,757,964,572,3.63,3.66,5.3,4.9,964,809,909,583,1,5741,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
975,743,1007,571,3.63,3.66,5.3,4.9,964,809,909,583,1,6093,..\movie\riku_kento\usiro\after\220705_02(2).mp4,2
857,755,969,570,3.63,3.66,5.3,4.9,964,809,909,583,1,6438,..\movie\riku_kento\usiro\after\220705_02(2).mp4,0
941,745,980,566,3.63,3.66,5.3,4.9,964,809,909,583,1,6805,..\movie\riku_kento\usiro\after\220705_02(2).mp4,2
