usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,offset_usiro_x,offset_usiro_y,offset_yoko_x,offset_yoko_y,judge,stop_time,movie_path,target,raw_x,raw_y,raw_z,offset_x,offset_z,court_x,court_z
1048,754,968,599,3.3,4.9,5.7,4.9,968,807,899,613,0,175,..\movie\riku_kento\usiro\after\220705_01.mp4,2,0.24415937625560954,0.06590268362589136,0.12058291581317503,-0.042843526429290145,-0.46447649004065994,4.7870029026848995,4.585059405853835
1161,809,820,611,3.3,4.9,5.7,4.9,968,807,899,613,0,451,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.7826049762027403,0.19982690021602198,-1.195408383616451,0.0,0.0,5.32544850263203,3.269068106424209
938,813,817,598,3.3,4.9,5.7,4.9,968,807,899,613,0,726,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.17538195484034602,0.2824094329468423,-1.1465500019383243,0.0,0.0,4.367461571588944,3.3179264881023354
1047,764,903,598,3.3,4.9,5.7,4.9,968,807,899,613,0,986,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.2626119824280541,0.12337836639874178,-0.43966993089601836,0.0,0.0,4.805455508857344,4.024806559144642
1039,724,1065,592,3.3,4.9,5.7,4.9,968,807,899,613,0,1272,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.18349677864756822,0.0006314403137717953,0.9519633462227386,0.0,0.0,4.726340305076858,5.4164398362633985
955,763,952,597,3.3,4.9,5.7,4.9,968,807,899,613,0,1605,..\movie\riku_kento\usiro\after\220705_01.mp4,2,-0.08705022925537226,0.10590330943877493,-0.016810978225537048,0.0,0.0,4.455793297173918,4.4476655118151225
967,757,947,598,3.3,4.9,5.7,4.9,968,807,899,613,0,1930,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.0439014829742963,0.0925089973283061,-0.05908536695040105,0.0,0.0,4.498942043454994,4.405391123090259
961,814,816,600,3.3,4.9,5.7,4.9,968,807,899,613,0,2263,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.07727437801563371,0.27535361944159925,-1.162720176592725,0.0,0.0,4.465569148413657,3.301756313447935
839,780,901,597,3.3,4.9,5.7,4.9,968,807,899,613,0,2566,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.5406191741607324,0.1742973800604211,-0.43238480334802315,0.0,0.0,4.002224352268557,4.032091686692636
825,787,863,599,3.3,4.9,5.7,4.9,968,807,899,613,0,2849,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.6218740901268014,0.20287162121163316,-0.7381564050438744,0.0,0.0,3.9209694363024887,3.7263200849967855
1177,788,891,605,3.3,4.9,5.7,4.9,968,807,899,613,0,3161,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.7789743051168775,0.1366781356864095,-0.5618721791360395,0.0,0.0,5.321817831546167,3.9026043109046205
932,813,823,592,3.3,4.9,5.7,4.9,968,807,899,613,0,3481,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.1996048010359674,0.3040529735131036,-1.094506494025857,0.0,0.0,4.343238725393323,3.369969996014803
998,749,971,597,3.3,4.9,5.7,4.9,968,807,899,613,0,3793,..\movie\riku_kento\usiro\after\220705_01.mp4,2,0.06685192602998036,0.06779566748562339,0.14467854043071782,0.0,0.0,4.60969545245927,4.609155030471378
1030,758,951,600,3.3,4.9,5.7,4.9,968,807,899,613,0,4093,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.18472962674497476,0.07899903513588259,-0.0257003270883844,0.0,0.0,4.727573153174265,4.4387761629522755
996,745,969,597,3.3,4.9,5.7,4.9,968,807,899,613,0,4396,..\movie\riku_kento\usiro\after\220705_01.mp4,0,0.05996528087185577,0.06185215925203453,0.12760147094167526,0.0,0.0,4.6028088073011455,4.592077960982335
954,758,970,597,3.3,4.9,5.7,4.9,968,807,899,613,0,4736,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.0884778150273896,0.0874427834351977,0.1347374293113334,0.0,0.0,4.4543657114019,4.599213919351993
926,746,971,597,3.3,4.9,5.7,4.9,968,807,899,613,0,5052,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.1871649167948517,0.06771377424638386,0.1421898051031878,0.0,0.0,4.355678609634438,4.606666295143848
1061,765,938,604,3.3,4.9,5.7,4.9,968,807,899,613,0,5346,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.3024464127069925,0.07910053837740852,-0.1382823149956368,0.0,0.0,4.845289939136283,4.326194175045023
1053,770,913,604,3.3,4.9,5.7,4.9,968,807,899,613,0,5703,..\movie\riku_kento\usiro\after\220705_01.mp4,1,0.28213547248164755,0.10294151269503271,-0.3539154723671964,0.0,0.0,4.824978998910938,4.110561017673463
960,778,893,597,3.3,4.9,5.7,4.9,968,807,899,613,0,6015,..\movie\riku_kento\usiro\after\220705_01.mp4,0,-0.07441965468341018,0.16664357238478425,-0.5140400523793219,0.0,0.0,4.46842387174588,3.950436437661338
