name,No,receive_mae,receive_yoko,result,under_over,v_start,v_stop,v_frame,t_movie,mae_x,mae_y,mae_w,mae_h,mae_co,yoko_x,yoko_y,yoko_w,yoko_h,yoko_co,x_diff,y_diff,z_diff,raw_x,raw_y,raw_z,cor_x,cor_y,cor_z,x,y,z
hagino_fukai,1,1173,1204,0,0,36261,36368,107,1.785118452,0.709,0.364,0.026,0.042,1.0,0.482,0.402,0.009,0.017,0.908,0.197,-0.146,0.013,2.4913849929126717,0.9600105284650339,-0.2828753095860005,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,2,3908,3939,0,1,36958,37051,93,1.551551552,0.352,0.504,0.022,0.051,1.0,0.465,0.458,0.012,0.022,1.0,-0.16,-0.005,-0.004,-2.0051375471305097,0.1208435510574394,-0.44764477401381464,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,3,6159,6190,1,0,37503,37614,111,1.851851852,0.686,0.35,0.028,0.05,1.0,0.529,0.402,0.008,0.017,0.965,0.174,-0.159,0.06,2.032161012819375,0.9548050631521855,0.5947021630294607,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,4,8727,8758,1,1,38172,38255,83,1.384718051,0.281,0.422,0.026,0.044,1.0,0.477,0.413,0.011,0.019,1.0,-0.231,-0.087,0.008,-2.859080523829573,0.5683732670414706,-0.2603352837679441,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,5,11290,11321,0,0,38804,38895,91,1.518184852,0.78,0.337,0.027,0.045,1.0,0.498,0.394,0.008,0.015,0.951,0.268,-0.173,0.029,3.2884556266790796,1.1061594840235371,0.02242450952859535,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,6,13654,13685,0,0,39379,39486,107,1.785118452,0.703,0.326,0.026,0.046,1.0,0.506,0.39,0.009,0.014,0.983,0.191,-0.183,0.037,2.3189175684543186,1.1281683540916705,0.1718425407873839,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,7,16061,16092,0,1,39987,40087,100,1.668335002,0.59,0.452,0.024,0.049,1.0,0.507,0.436,0.009,0.019,0.977,0.078,-0.057,0.039,0.9614539759935132,0.433616665365097,0.1754625756947225,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,9,21032,21063,0,1,41249,41328,79,1.317984651,0.253,0.525,0.026,0.045,1.0,0.5,0.468,0.011,0.024,0.999,-0.259,0.016,0.032,-3.123187368482481,0.001850079583788587,0.04004698914545097,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,10,23998,24029,0,0,41972,42069,97,1.618284952,0.386,0.333,0.023,0.04,1.0,0.442,0.367,0.012,0.021,0.999,-0.126,-0.176,-0.027,-1.6210356297177975,1.1282007553452493,-0.7939872514543018,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,11,26336,26367,1,1,42572,42653,81,1.351351351,0.703,0.505,0.026,0.051,1.0,0.515,0.458,0.01,0.021,0.999,0.191,-0.004,0.047,2.28278290967346,0.15907343154104683,0.34057289167901095,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,12,29037,29068,1,0,43220,43327,107,1.785118452,0.42,0.325,0.024,0.04,1.0,0.46,0.368,0.01,0.018,0.655,-0.092,-0.184,-0.009,-1.152200816455094,1.157893323974309,-0.5526617930825946,-0.06217,-0.74722,-0.31204,,,
