usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y
907,739,986,600,3.5,5,5.5,5
908,738,996,598,3.5,5,5.5,5
1131,739,887,599,3.5,5,5.5,5
949,710,1096,603,3.5,5,5.5,5
998,731,981,596,3.5,5,5.5,5
1005,740,969,590,3.5,5,5.5,5
837,743,960,598,3.5,5,5.5,5
992,724,1031,597,3.5,5,5.5,5
1047,738,957,607,3.5,5,5.5,5
1019,726,1015,604,3.5,5,5.5,5
960,740,938,609,3.5,5,5.5,5
1121,726,981,608,3.5,5,5.5,5
873,754,916,594,3.5,5,5.5,5
1162,742,934,608,3.5,5,5.5,5
1109,727,979,606,3.5,5,5.5,5
932,752,953,593,3.5,5,5.5,5
1037,722,1056,597,3.5,5,5.5,5
1104,763,893,601,3.5,5,5.5,5
1110,743,973,598,3.5,5,5.5,5
1018,757,905,586,3.5,5,5.5,5
